Elements;insertBT;deleteBT;findBT;equalBT;milliSec;0;10;50;3;ab
11;0;0;0;0
22;0;0;0;0
33;0;0;0;0
44;0;1;0;0
55;1;0;0;0
66;1;1;0;0
77;2;1;0;0
88;4;2;0;0
99;5;3;0;0
110;6;3;0;0
121;6;5;0;0
132;9;5;0;0
143;11;7;0;0
154;14;8;0;0
165;16;12;0;0
176;20;13;1;0
187;24;14;0;0
198;28;17;1;0
209;33;23;0;0
220;38;25;0;0
231;45;28;0;0
242;51;33;0;1
253;59;41;0;0
264;66;42;0;1
275;73;47;0;0
286;82;51;0;1
297;92;58;0;0
308;104;67;0;1
319;116;73;0;1
330;125;78;1;1
341;140;90;1;1
352;152;100;1;1
363;175;108;1;1
374;183;124;1;0
385;200;129;0;1
396;217;152;1;1
407;238;158;1;1
418;258;170;0;1
429;284;188;1;1
440;300;199;1;1
451;322;211;1;1
462;348;226;1;1
473;375;248;2;1
484;396;263;1;2
495;421;278;1;2
506;450;286;1;2
517;489;326;2;2
528;516;342;1;1
539;549;382;2;2
550;595;387;1;2
